university_name,university_address
Відокремлений підрозділ 'Вінницький факультет Київського національного університету культури і мистецтв',"вул. Стрілецька, 7"
"Відокремлений підрозділ ""Вінницький факультет менеджменту і бізнесу Київського університету культури""","вул. Стрілецька, 7"
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Вінницький соціально-економічний інститут","вул. Хмельницьке шосе, 23""А"""
"Вінницька філія Вищого навчального закладу ""Київський університет ринкових відносин""","вул. Козицького, 15"
"Вінницька філія Економіко-технологічного коледжу Приватного вищого навчального закладу ""Київський інститут бізнесу та технологій"" товариства з обмеженою відповідальністю","вул. Сергія Зулінського, 46"
Вінницька філія Київського інституту бізнесу та технологій товариство з обмеженою відповідальністю,"вул. Сергія Зулінського, 46"
"Вінницька філія Приватного вищого навчального закладу ""Університет сучасних знань""","вул. Шосе Хмельницьке, 7"
Вінницьке відділення Навчально-наукового інституту заочного та дистанційного навчання,"вул. Ботанічна, 23"
Вінницький державний педагогічний університет імені Михайла Коцюбинського,"вул. Острозького, 32"
"Вінницький інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""","вул. Хмельницьке шосе, 145"
"""Вінницький коледж Київського університету культури""","вул. Стрілецька, 7"
Вінницький кооперативний інститут,"вул. Академіка Янгеля, 59"
Вінницький навчально-науковий інститут економіки Західноукраїнського національного університету,"вул. Гонти, 37"
Вінницький навчально-науковий центр Одеської національної академії зв'язку ім. О.С. Попова,"вул. Козицького, 22"
Вінницький національний аграрний університет,"вул. Сонячна, 3"
Вінницький національний медичний університет ім. М. І. Пирогова,"вул. Пирогова, 56"
Вінницький національний технічний університет,"вул. Хмельницьке шосе, 95"
Донецький національний університет імені Василя Стуса,"вул. 600-річчя, 21"
"Комунальний заклад вищої освіти ""Вінницька академія безперервної освіти""","вул. Грушевського, 13"
"Комунальний заклад вищої освіти ""Вінницький гуманітарно-педагогічний коледж""","вул. Нагірна, 13"
"Приватний вищий навчальний заклад ""Вінницький інститут конструювання одягу і підприємництва""","просп. Космонавтів, 42"
"Приватний вищий навчальний заклад ""Вінницький фінансово-економічний університет""","вул. Пирогова, 71 А"
"Структурний підрозділ ""Фаховий коледж конструювання одягу"" приватного вищого навчального закладу ""Вінницький інститут конструювання одягу і підприємництва""","просп. Космонавтів, 7"
"Жмеринська філія товариства з обмеженою відповідальністю ""Вінницький коледж менеджменту""","вул. Училищна, 9"
"Державний вищий навчальний заклад ""Могилів-Подільський монтажно-економічний коледж""","вул. Василя Стуса, 58"
"Комунальний заклад вищої освіти ""Барський гуманітарно-педагогічний коледж імені Михайла Грушевського""","майдан Михайла Грушевського, 1"
